1 1.801 -797.8645351939272 
2 1.91 -797.8672313147822 
3 2.019 -797.8662656737204 
4 2.128 -797.863644710477 
5 2.237 -797.8603921857946 
6 2.346 -797.8569549868802 
7 2.455 -797.8534727993658 
8 2.564 -797.849978881612 
9 2.673 -797.8464878789132 
10 2.782 -797.8430323151965 
11 2.891 -797.8396488602882
12 2.9999999999999996 -797.8363851939845 
13 2.9171 -797.8395212881511 
14 2.8342 -797.842703791209 
15 2.7512999999999996 -797.8459060190863 
16 2.6683999999999997 -797.8490816049558 
17 2.5854999999999997 -797.8521599574334 
18 2.5026 -797.8550208248975 
19 2.4196999999999997 -797.8574799476495 
20 2.3367999999999998 -797.8592394744861 
21 2.2539 -797.8598363656745 
